epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.10835,3.41246,6.59454,0.02248,8e-05,0.02183,6e-05,1e-05,3.61605,6.71709,0.03269,0.000325,0.000325,0.000325
2,13.1767,3.06102,5.9201,0.01965,3e-05,0.01626,2e-05,0,3.59132,5.76671,0.03241,0.000657519,0.000657519,0.000657519
3,18.2004,2.68326,5.16814,0.01625,1e-05,0.00407,0,0,3.60398,3.88499,0.03251,0.000989212,0.000989212,0.000989212
4,23.1745,2.43729,4.51588,0.01433,0.21419,0.12011,0.05367,0.01208,2.55016,3.67166,0.02052,0.000996287,0.000996287,0.000996287
5,28.2178,2.3101,3.83488,0.01294,0.28187,0.29751,0.1656,0.04197,2.19312,3.47834,0.01682,0.00099505,0.00099505,0.00099505
6,33.1365,2.17228,3.31285,0.01195,0.49822,0.39167,0.325,0.11964,2.08321,2.39616,0.01568,0.000993812,0.000993812,0.000993812
7,38.2332,2.08773,2.99747,0.01146,0.51873,0.48326,0.416,0.14851,2.08455,2.38204,0.01641,0.000992575,0.000992575,0.000992575
8,43.2961,1.93405,2.65221,0.01041,0.32453,0.5676,0.43963,0.20246,1.83539,2.03443,0.01296,0.000991338,0.000991338,0.000991338
9,48.2751,1.90911,2.43594,0.01009,0.47388,0.66198,0.63901,0.24528,1.89818,1.85219,0.0136,0.0009901,0.0009901,0.0009901
10,53.2835,1.84571,2.25173,0.00952,0.61036,0.65578,0.68788,0.38012,1.47824,1.50553,0.0097,0.000988863,0.000988863,0.000988863
11,58.2616,1.74625,2.05827,0.00904,0.47556,0.62109,0.62956,0.35117,1.38017,1.77642,0.00908,0.000987625,0.000987625,0.000987625
12,63.1864,1.68385,1.9265,0.00863,0.6614,0.76444,0.77425,0.46663,1.43018,1.11509,0.00961,0.000986387,0.000986387,0.000986387
13,68.1643,1.70211,1.79552,0.00851,0.71632,0.78219,0.82473,0.49906,1.38605,1.04543,0.00894,0.00098515,0.00098515,0.00098515
14,73.3342,1.66139,1.73799,0.00859,0.727,0.80189,0.81838,0.51216,1.33347,1.04043,0.00845,0.000983912,0.000983912,0.000983912
15,78.7776,1.60743,1.62373,0.00794,0.70694,0.74535,0.79986,0.48631,1.34324,1.09154,0.00822,0.000982675,0.000982675,0.000982675
16,84.0565,1.56977,1.5772,0.0079,0.72396,0.77231,0.81882,0.51808,1.262,0.99463,0.0076,0.000981437,0.000981437,0.000981437
17,89.1568,1.56683,1.51794,0.00774,0.68011,0.86865,0.86712,0.54696,1.2894,0.93071,0.00837,0.0009802,0.0009802,0.0009802
18,94.2397,1.57726,1.44699,0.00788,0.80525,0.80735,0.87132,0.56517,1.20244,0.87774,0.00732,0.000978963,0.000978963,0.000978963
19,99.2775,1.58531,1.39651,0.00798,0.8151,0.77156,0.88885,0.56598,1.26545,0.85614,0.00806,0.000977725,0.000977725,0.000977725
